#Frame       Nb108bp1        Trop2
     853       1.7690       4.7705
     854       1.8045       4.9194
     855       1.8537       4.5872
     856       1.7931       4.5014
     857       1.8294       4.7046
     858       1.8629       4.8967
     859       1.9146       5.0593
     860       1.8138       4.9308
     861       1.8053       4.8634
     862       1.7999       5.0305
     863       1.6857       5.0291
     864       1.6767       4.9485
     865       1.8706       4.9503
     866       1.8691       4.9184
     867       1.7633       4.6384
     868       1.7383       4.9163
     869       1.7946       4.7513
     870       1.8051       4.6783
     871       1.7337       4.7067
     872       1.7885       4.4149
     873       1.9125       4.7538
     874       1.8733       4.6637
     875       1.8412       4.5422
     876       1.8794       4.1391
     877       1.8116       4.2709
     878       1.7789       4.3390
     879       1.8274       4.3376
     880       1.8926       4.4613
     881       1.8133       4.2138
     882       1.7894       4.1493
     883       1.9419       4.1670
     884       1.7473       4.3628
     885       1.7916       4.6055
     886       1.8523       4.4251
     887       1.8548       3.9451
     888       1.9017       4.1832
     889       1.8199       4.2297
     890       1.8522       4.0808
     891       1.7425       4.3250
     892       1.8592       4.7595
     893       1.9109       4.3944
     894       1.7857       4.4453
     895       1.8322       4.4082
     896       1.9334       4.6279
     897       1.8593       4.5689
     898       1.9281       4.8915
     899       1.9685       5.1804
     900       1.7632       5.1825
     901       1.8393       5.3450
     902       1.9028       5.2739
     903       2.0146       5.5082
     904       1.9051       5.5367
     905       1.7229       5.4712
     906       1.8461       5.5896
     907       1.8694       5.4899
     908       1.8786       5.2743
     909       1.8976       5.4522
     910       1.8710       5.4401
     911       1.7182       5.5964
     912       1.7643       5.4597
     913       1.7388       5.4875
     914       1.6846       5.1536
     915       1.8332       5.0637
     916       1.7507       5.0441
     917       1.8756       5.0089
     918       2.0028       5.4761
     919       1.8337       5.4164
     920       1.8124       5.0784
     921       1.6603       5.1317
     922       1.7410       5.2476
     923       1.7381       5.3076
     924       1.6544       5.0410
     925       1.7364       5.3902
     926       1.7079       5.3348
     927       1.7906       5.5855
     928       1.8550       5.3214
     929       1.9377       5.5499
     930       1.6437       5.5986
     931       1.7973       5.4874
     932       1.7633       5.3889
     933       1.5912       5.3443
     934       1.7245       5.4082
     935       1.7755       5.4850
     936       1.7697       5.8631
     937       1.7646       5.4466
     938       1.7093       5.8452
     939       1.7485       5.7888
     940       1.7315       5.6443
     941       1.9067       5.7981
     942       1.7621       5.4886
     943       1.9051       5.6378
     944       1.7934       5.7221
     945       1.7901       5.4103
     946       1.7596       5.2823
     947       1.8030       5.2279
     948       1.7641       5.2467
     949       1.8287       5.2803
     950       2.0165       5.1853
     951       1.8433       5.2915
     952       1.8662       5.3584
     953       1.7787       5.2769
     954       1.9324       5.4230
     955       1.9757       5.4805
     956       1.8589       5.2246
     957       1.8437       5.2807
     958       1.6688       5.5417
     959       1.7572       5.3614
     960       1.6808       5.3727
     961       1.7478       5.1870
     962       1.7366       5.1952
     963       1.7119       5.4117
     964       1.7856       5.2387
     965       1.9609       5.6125
     966       2.0345       5.3792
     967       2.0367       5.1148
     968       2.0392       5.0434
     969       2.1212       5.5651
     970       2.1273       5.2571
     971       2.1875       5.5121
     972       2.0865       5.3108
     973       2.0985       5.4936
     974       2.1155       5.4860
     975       2.1268       5.5773
     976       2.0174       5.5721
     977       1.9341       5.4197
     978       2.0162       5.6762
     979       2.0464       5.5750
     980       2.1457       5.4939
     981       2.1526       5.3959
     982       2.0537       5.2647
     983       2.2699       5.4499
     984       2.2413       5.1576
     985       2.2949       5.4660
     986       2.0843       5.4581
     987       1.8208       5.2798
     988       1.9179       5.2534
     989       2.1015       5.3735
     990       2.1064       5.5609
     991       2.1876       5.3180
     992       2.0022       5.4819
     993       1.9910       5.5111
     994       1.9568       5.4138
