#Frame        Nb65bp2        Trop2
     340       1.3901       3.3289
     341       1.3500       3.1332
     342       1.3620       3.2956
     343       1.4920       3.4188
     344       1.4270       3.0763
     345       1.3033       3.2165
     346       1.2023       3.2412
     347       1.1467       3.0821
     348       1.1808       3.0390
     349       1.1246       2.9953
     350       1.2349       3.3331
     351       1.2167       3.2488
     352       1.2143       3.1436
     353       1.2506       2.9705
     354       1.2923       3.2727
     355       1.2990       3.1049
     356       1.3127       3.2066
     357       1.4304       3.1130
     358       1.4918       3.3804
     359       1.4250       3.4280
     360       1.2964       3.3019
     361       1.3684       3.3149
     362       1.4011       3.3102
     363       1.3945       3.3329
     364       1.3000       3.4608
     365       1.5414       3.2620
     366       1.3164       3.3318
     367       1.2927       3.2295
     368       1.3750       3.2245
     369       1.3755       3.3235
     370       1.3573       3.1501
     371       1.2953       3.1193
     372       1.2526       3.3392
     373       1.2466       3.2604
     374       1.3775       3.2986
     375       1.3999       3.1851
     376       1.2890       3.1705
     377       1.4206       2.9776
     378       1.5375       3.0095
     379       1.6073       3.2185
     380       1.5246       3.3989
     381       1.4995       3.5105
     382       1.3968       3.4122
     383       1.3895       3.2926
     384       1.5105       3.4070
     385       1.6391       3.4394
     386       1.5923       3.4266
     387       1.5375       3.4372
     388       1.5141       3.4391
     389       1.5505       3.0533
     390       1.5173       3.2310
     391       1.2561       2.9933
     392       1.3807       2.8002
     393       1.4322       2.7622
     394       1.3907       2.9310
     395       1.5555       2.7421
     396       1.4820       3.0571
     397       1.4876       3.1917
     398       1.5339       3.1718
     399       1.5731       3.2133
     400       1.5622       3.3673
     401       1.4754       2.9663
     402       1.5383       3.2958
     403       1.5445       3.1779
     404       1.4039       3.4520
     405       1.6096       3.3084
     406       1.4334       3.4619
     407       1.6574       3.7770
     408       1.6583       3.5902
     409       1.6571       3.8259
     410       1.5277       3.7147
     411       1.5309       3.9223
     412       1.7374       3.7204
     413       1.7799       3.7228
     414       1.5600       3.6418
     415       1.6069       3.4648
     416       1.5701       3.5358
     417       1.6618       3.0560
     418       1.5463       3.0159
     419       1.7808       3.4017
     420       1.7736       3.4108
     421       1.7754       3.0996
     422       1.6455       3.5455
     423       1.6454       3.6825
     424       1.6932       3.3751
     425       1.6417       3.4017
     426       1.6749       3.5922
     427       1.7707       3.4567
     428       1.9024       3.4194
     429       1.8481       3.4568
     430       1.7026       3.3319
     431       1.9682       3.5661
     432       1.7406       3.3595
     433       1.7485       2.9964
     434       1.7178       2.9783
     435       1.8066       3.1640
     436       1.5741       2.8904
     437       1.5727       2.9911
     438       1.4904       2.8164
     439       1.5437       3.0066
     440       1.4294       2.9996
     441       1.4763       3.0815
     442       1.4824       3.0143
     443       1.5143       3.0770
     444       1.5343       2.8907
     445       1.4122       3.0085
     446       1.3938       3.1961
     447       1.5250       3.2433
     448       1.3756       3.2488
     449       1.4539       3.2688
     450       1.4846       3.3438
     451       1.4706       3.2854
     452       1.5561       3.1406
     453       1.6403       3.1415
     454       1.8773       3.0220
     455       1.7160       3.2090
     456       1.5563       3.4027
     457       1.7565       3.3172
     458       1.6951       3.2354
     459       1.7650       2.9888
     460       1.8913       3.0855
     461       1.9726       3.0989
     462       1.9001       2.9511
     463       1.9256       3.1670
     464       1.8861       3.3671
