#Frame          Trop2     Nanobody
     789       4.3616       2.0744
     790       4.5116       2.0886
     791       4.4480       1.8251
     792       4.3581       1.8870
     793       4.4162       1.9078
     794       4.1781       2.0698
     795       4.3366       2.0922
     796       4.3621       1.9854
     797       4.3510       1.7512
     798       4.1994       1.7341
     799       4.3427       1.8110
     800       4.2259       1.9640
     801       4.2173       1.9381
     802       4.3260       1.9630
     803       4.4197       1.8595
     804       4.4637       1.8350
     805       4.4480       1.8749
     806       4.4073       1.9941
     807       4.3426       2.1044
     808       4.3453       1.9365
     809       4.4533       2.0397
     810       4.3021       2.0815
     811       4.5191       1.7542
     812       4.4462       2.1202
     813       4.4465       1.7797
     814       4.4485       1.8213
     815       4.3822       1.8479
     816       4.4634       1.8640
     817       4.4466       1.8970
     818       4.3828       1.8962
     819       4.3618       1.6038
     820       4.1950       1.5504
     821       4.5048       1.8155
     822       4.4893       1.6411
     823       4.4765       1.8018
     824       4.4033       1.6147
     825       4.3512       1.8769
     826       4.3671       1.8380
     827       4.2705       1.8354
     828       4.3248       1.7797
     829       4.3237       1.7648
     830       4.2717       1.9378
     831       4.3284       1.9772
     832       4.2736       1.9189
     833       4.4181       1.8562
     834       4.2841       1.9258
     835       4.3613       2.1559
     836       4.3852       1.9056
     837       4.4714       1.9528
     838       4.4672       1.8781
     839       4.4544       2.1728
     840       4.4164       2.2546
     841       4.4803       2.0421
     842       4.3537       1.9051
     843       4.4865       2.0739
     844       4.5494       1.9957
     845       4.5174       1.8899
     846       4.3788       1.8716
     847       4.4465       1.9179
     848       4.4130       1.8541
     849       4.4251       1.7887
     850       4.3436       1.9542
     851       4.2498       1.9064
     852       4.1560       1.8040
     853       4.2067       1.8720
     854       4.1516       1.8973
     855       4.3765       1.7965
     856       4.3891       1.6325
     857       4.2866       1.5742
     858       4.2119       1.5823
     859       4.0997       1.7982
     860       4.4101       1.9322
     861       4.2753       1.9087
     862       4.2680       1.6813
     863       4.2569       1.7339
     864       4.3230       1.5908
     865       4.2419       1.6157
     866       4.1220       1.7463
     867       4.2927       1.8919
     868       4.4053       1.8126
     869       4.2670       1.8278
     870       4.0288       2.0740
     871       4.0318       2.0048
     872       4.0855       2.1027
     873       4.2393       2.0832
     874       4.2862       2.3359
     875       4.0971       2.1962
     876       4.2947       2.0562
     877       4.2464       1.9317
     878       4.3505       2.2212
     879       4.5353       2.1017
     880       4.2267       1.9522
     881       4.1816       2.1680
     882       4.1352       2.1253
     883       4.1288       1.9235
     884       4.2212       2.1353
     885       4.2135       1.9436
     886       4.1267       2.0359
     887       4.0537       2.0479
     888       4.1611       2.2276
     889       4.2346       2.0769
     890       4.0498       2.0827
     891       3.8632       2.0170
     892       4.0587       2.2032
     893       3.8767       2.2656
     894       3.9610       1.9844
     895       3.9728       2.0547
     896       4.0679       2.2447
     897       4.1584       2.2518
     898       4.1537       2.2373
     899       4.1000       2.2159
     900       3.9974       2.0697
     901       4.2657       2.2412
     902       4.2737       2.0765
     903       4.1638       1.9954
     904       4.1612       1.8804
     905       3.9574       2.1278
     906       4.0140       1.8158
     907       4.2099       1.7386
     908       3.8662       1.8703
     909       4.2160       1.9400
     910       4.2395       1.9165
     911       4.2784       1.7596
     912       4.2863       1.8711
     913       4.0904       1.6938
     914       4.1557       1.6684
     915       4.1229       1.7146
     916       3.9588       1.6400
     917       4.1244       1.5727
     918       4.0822       2.0194
     919       4.0747       1.9555
     920       4.0393       2.0167
     921       4.1060       1.8882
     922       3.9616       1.7645
     923       3.9892       1.8673
     924       4.0572       1.5116
     925       4.1621       1.7450
     926       4.0796       1.7963
     927       4.0746       1.5709
     928       4.0913       1.6306
     929       4.0851       1.6215
     930       4.2290       1.5206
     931       4.1075       1.6446
     932       4.1018       1.6684
     933       4.0737       1.4889
     934       4.3530       1.5878
     935       4.1763       1.7261
     936       4.2750       1.6517
     937       4.4724       1.5914
     938       4.2443       1.9603
     939       4.3347       1.8963
     940       4.3506       1.8518
     941       4.2774       1.5871
     942       4.4776       1.5024
     943       4.3727       1.6231
     944       4.3417       1.7617
     945       4.2724       1.7560
     946       4.3935       1.7636
     947       4.5673       1.7658
     948       4.6126       1.7604
     949       4.5566       1.8842
     950       4.5085       1.7242
     951       4.4919       1.7738
     952       4.3258       1.7077
     953       4.2963       1.6294
     954       4.1940       1.8301
     955       4.3181       1.8648
     956       4.2973       1.7961
     957       4.1800       1.6844
     958       4.2051       1.8980
     959       4.2710       1.8270
     960       4.3802       1.9776
     961       4.2353       1.9166
     962       4.3024       1.9815
     963       4.1869       1.8315
     964       4.1659       1.9760
     965       4.1394       2.0838
     966       4.2128       1.8468
     967       4.0388       1.8935
     968       4.1442       1.7664
     969       4.1251       1.7741
     970       4.1232       1.8696
     971       4.2412       1.7865
     972       4.1254       1.9290
     973       4.2312       2.0643
     974       4.2342       1.8356
     975       4.2651       2.0485
